d_arcsec,_RAJ2000,_DEJ2000,Star,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Mass,logL,e_logL,VMAG,Pl_,SimbadName,_RA,_DE,_RAJ2000_2,_DEJ2000_2,recno,catID,vsini,w_vsini,o_vsini,n_vsini,Simbad,_RA_2,_DE_2,starname,err_rv_scaled
0.008326,6.1772814,-53.9839978,HD 2071,5719,14,4.46999979019165,0.019999999552965164,-0.09000000357627869,0.009999999776482582,0.9470000267028809,0.7979999780654907,0.01899999938905239,5.059999942779541,no,HD 2071,6.17728,-53.984,6.1772853,-53.9839975,421,HD 2071 A,2.700000047683716,3.0,1,,Simbad,6.17729,-53.984,HD2071,nan
0.011869,7.4994667,-5.7640017,HD 2638,5198,52,4.429999828338623,0.09000000357627869,0.11999999731779099,0.03999999910593033,0.8050000071525574,0.46299999952316284,0.06300000101327896,5.789999961853027,yes,HD 2638,7.49947,-5.764,7.4994697,-5.7640003,490,HD 2638,1.0,0.5,1,,Simbad,7.49947,-5.764,HD2638,0.3382224125190589
0.003621,10.1069581,-59.4546044,HD 3823,6022,14,4.309999942779541,0.019999999552965164,-0.2800000011920929,0.009999999776482582,1.0130000114440918,2.305999994277954,0.012000000104308128,3.859999895095825,no,HD 3823,10.10696,-59.4546,10.1069569,-59.4546036,663,HD 3823,2.700000047683716,3.0,1,,Simbad,10.10696,-59.4546,HD3823,0.9623762449373743
0.010848,11.1110431,-26.5156803,HD 4208,5599,19,4.440000057220459,0.019999999552965164,-0.2800000011920929,0.009999999776482582,0.8270000219345093,0.7129999995231628,0.03099999949336052,5.210000038146973,yes,HD 4208,11.11104,-26.51568,11.1110464,-26.5156797,725,HD 4208,2.700000047683716,3.0,1,,Simbad,11.11105,-26.51568,HD4208,0.6882568602700709
0.001508,11.3695331,-12.8808097,HD 4307,5812,14,4.099999904632568,0.019999999552965164,-0.23000000417232513,0.009999999776482582,0.9750000238418579,2.9240000247955322,0.028999999165534973,3.630000114440918,no,HD 4307,11.36953,-12.88081,11.3695328,-12.8808094,744,HD 4307 A,1.7999999523162842,3.0,1,,Simbad,11.36953,-12.88081,HD4307,0.8268771481819532
0.004156,11.1636156,-65.6495222,HD 4308,5644,16,4.380000114440918,0.029999999329447746,-0.3400000035762787,0.009999999776482582,0.8029999732971191,0.9800000190734863,0.010999999940395355,4.849999904632568,yes,HD 4308,11.16362,-65.64952,11.1636128,-65.6495222,731,HD 4308,2.700000047683716,3.0,1,,Simbad,11.16361,-65.64952,HD4308,0.7071941250478829
0.010551,12.7952006,-5.0392783,HD 4915,5658,13,4.519999980926514,0.029999999329447746,-0.20999999344348907,0.009999999776482582,0.9089999794960022,0.671999990940094,0.01899999938905239,5.260000228881836,no,HD 4915,12.7952,-5.03928,12.7951978,-5.0392792,851,HD 4915,2.299999952316284,3.5,2,:,Simbad,12.7952,-5.03928,HD4915,0.7215808808190778
0.009,16.1102981,-2.366595,HD 6348,5107,28,4.510000228881836,0.05000000074505806,-0.5600000023841858,0.019999999552965164,0.5630000233650208,0.3330000042915344,0.039000000804662704,6.179999828338623,no,HD 6348,16.1103,-2.36659,16.1102981,-2.3665925,1063,HD 6348,0.0,0.5,1,,Simbad,16.1103,-2.36659,HD6348,0.5744248508776821
0.005665,16.6976214,-50.9894458,HD 6673,4960,59,4.489999771118164,0.10999999940395355,-0.25999999046325684,0.029999999329447746,0.699999988079071,0.25999999046325684,0.027000000700354576,6.5,no,HD 6673,16.69762,-50.98945,16.6976189,-50.9894458,1111,HD 6673,3.5999999046325684,3.0,1,,Simbad,16.69762,-50.98945,HD6673,0.5561642768661194
0.00717,16.8835489,-41.7466992,HD 6735,6082,15,4.489999771118164,0.019999999552965164,-0.05999999865889549,0.009999999776482582,1.0859999656677246,1.430999994277954,0.020999999716877937,4.369999885559082,no,HD 6735,16.88355,-41.7467,16.8835497,-41.7467011,1123,HD 6735 A,4.5,3.0,1,,Simbad,16.88355,-41.7467,HD6735,0.9409240856947034
0.005531,17.8836694,-12.8430833,HD 7134,5940,14,4.409999847412109,0.019999999552965164,-0.28999999165534973,0.009999999776482582,0.9409999847412109,1.3669999837875366,0.03200000151991844,4.440000057220459,no,HD 7134,17.88367,-12.84308,17.8836683,-12.8430844,1194,HD 7134,1.7999999523162842,3.0,1,,Simbad,17.88367,-12.84308,HD7134,0.8516820787853701
0.003387,18.6221742,-5.0473867,HD 7449,6024,13,4.510000228881836,0.029999999329447746,-0.10999999940395355,0.009999999776482582,1.0529999732971191,1.1970000267028809,0.026000000536441803,4.570000171661377,no,HD 7449,18.62217,-5.04739,18.622175,-5.0473872,1236,HD 7449,3.299999952316284,3.5,2,,Simbad,18.62217,-5.04739,HD7449,0.9504049655060911
0.007475,20.5317206,-26.8931031,HD 8326,4971,79,4.480000019073486,0.15000000596046448,0.019999999552965164,0.03999999910593033,0.7160000205039978,0.31200000643730164,0.03200000151991844,6.289999961853027,no,HD 8326,20.53172,-26.8931,20.5317225,-26.8931019,1324,HD 8326 A,3.5999999046325684,3.0,1,,Simbad,20.53172,-26.8931,HD8326,0.45588345081316484
0.007261,20.7609969,-12.9660689,HD 8389A,5283,64,4.369999885559082,0.11999999731779099,0.3400000035762787,0.05000000074505806,0.8629999756813049,0.6169999837875366,0.026000000536441803,5.449999809265137,no,HD 8389,20.761,-12.96607,20.760995,-12.9660697,1342,HD 8389,7.599999904632568,2.0,1,,Simbad,20.76099,-12.96607,HD8389A,0.4907662656856868
0.010412,20.7536406,-16.4874619,HD 8406,5726,12,4.5,0.009999999776482582,-0.10000000149011612,0.009999999776482582,0.953000009059906,0.7850000262260437,0.03400000184774399,5.079999923706055,no,HD 8406,20.75364,-16.48746,20.7536436,-16.4874622,1341,HD 8406,1.7999999523162842,3.0,1,,Simbad,20.75364,-16.48746,HD8406,0.6423087624411468
0.00551,21.2050292,-27.8390456,HD 8638,5507,26,4.429999828338623,0.05000000074505806,-0.3799999952316284,0.019999999552965164,0.7440000176429749,0.6940000057220459,0.0430000014603138,5.260000228881836,no,HD 8638,21.20503,-27.83905,21.2050306,-27.8390447,1362,HD 8638,3.5999999046325684,3.0,1,,Simbad,21.20503,-27.83904,HD8638,0.6541964741375421
0.007654,21.7564444,-0.1575881,HD 8828,5403,25,4.460000038146973,0.029999999329447746,-0.1599999964237213,0.019999999552965164,0.8220000267028809,0.5239999890327454,0.026000000536441803,5.590000152587891,no,HD 8828,21.75644,-0.15759,21.7564428,-0.1575867,1401,HD 8828,9.300000190734863,2.5,2,:,Simbad,21.75644,-0.15759,HD8828,0.6067265559545332
