#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 3319126988068404096,93.003217,0.0344,6.781974,0.0362,3.3191269880684E+18,41.0627,0.0416,987.6355,197.304,0.066,-254.848,0.06,173,326.09,11,0,40007000,11731.0,6.683,3E-04,21070000,63903.0,7.0422,0.0033,26038000,78215.0,6.2229,0.0033,0.8194,-53.52,0.14,5830.0,0.079,0.038,0.95,0.934,93.002362,6.783071
Gaia DR2 19316224572460416,39.028135,0.1017,6.893134,0.1095,1.93162245724604E+16,138.2084,0.1436,962.212,1777.432,0.2,1474.053,0.191,120,1283.24,9,0,121390000,220740.0,5.4779,0.002,52731000,172780.0,6.0462,0.0036,93406000,345530.0,4.836,0.004,1.2102,25.23,0.13,4762.07,0.029,0.041,0.8,0.294,39.020427,6.886787
Gaia DR2 4475028306629554944,271.466726,0.0448,7.090202,0.078,4.47502830662956E+18,21.0145,0.083,253.1454,-208.928,0.088,-103.651,0.102,97,223.9,7,0,18939000,5402.0,7.495,3E-04,10172000,14015.0,7.8329,0.0015,12338000,16977.0,7.0338,0.0015,0.7991,28.85,0.17,5853.0,0.296,0.148,1.26,1.686,271.467632,7.090649
Gaia DR2 3865002247461685248,164.127215,0.0311,7.388141,0.029,3.86500224746168E+18,57.7619,0.0343,1684.4744,-257.01,0.065,-77.508,0.053,167,244.89,10,0,27270000,12368.0,7.0991,5E-04,12595000,31657.0,7.6009,0.0027,20269000,50315.0,6.4948,0.0027,1.106,5.34,0.13,5019.79,0.148,0.072,0.79,0.355,164.128331,7.388475
Gaia DR2 10584899657116672,49.360666,0.0357,7.655784,0.0275,1.05848996571167E+16,21.147,0.041,515.9772,166.36,0.071,-6.237,0.062,170,381.97,10,0,23704000,8208.4,7.2513,4E-04,13084000,29103.0,7.5595,0.0024,14830000,50300.0,6.8341,0.0037,0.7254,31.35,0.2,6102.0,0.253,0.144,1.29,2.063,49.359943,7.655811
Gaia DR2 596878550087942528,133.068952,0.0515,8.061907,0.0329,5.96878550087943E+17,43.4489,0.0768,565.8863,151.386,0.11,-234.797,0.06,401,2297.7,12,0,51630000,12016.0,6.4061,3E-04,27491000,22134.0,6.7534,9E-04,33612000,33105.0,5.9457,0.0011,0.8077,-5.09,5.94,5821.5,0.089,0.0495,1.02,1.077,133.068294,8.062918
Gaia DR2 3326288347818354048,97.403612,0.0502,8.492373,0.0509,3.32628834781835E+18,20.4293,0.053,385.6683,-16.868,0.094,-14.516,0.087,137,282.3,11,0,19265000,11179.0,7.4764,6E-04,10740000,30254.0,7.7738,0.0031,11938000,37455.0,7.0696,0.0034,0.7043,45.08,0.31,6106.0,0.157,0.077,1.2,1.797,97.403685,8.492435
Gaia DR2 1167718049194619136,226.885852,0.0409,9.225195,0.0537,1.16771804919462E+18,30.4846,0.0478,637.4139,-190.625,0.08,30.457,0.106,140,307.36,9,0,21390000,15777.0,7.3628,8E-04,11226000,25500.0,7.7259,0.0025,14287000,30379.0,6.8746,0.0023,0.8513,-35.25,0.23,5692.25,0.079,0.0272,0.98,0.914,226.886683,9.225064
Gaia DR2 1167718049194619264,226.886423,0.0432,9.226133,0.0563,1.16771804919462E+18,30.402,0.0547,556.0267,-194.987,0.09,23.014,0.129,115,288.32,8,0,25437000,15724.0,7.1747,7E-04,13490000,45708.0,7.5263,0.0037,16670000,44060.0,6.7071,0.0029,0.8192,-34.26,0.23,5793.25,0.099,0.0495,1.03,1.086,226.887274,9.226034
Gaia DR2 3146303001634267392,121.125533,0.079,9.267991,0.0506,3.14630300163427E+18,33.5328,0.0975,344.0568,271.792,0.164,13.073,0.104,236,1452.38,12,0,27656000,5549.2,7.0839,2E-04,14752000,13383.0,7.4293,0.001,18073000,36691.0,6.6193,0.0022,0.8099,-55.44,2.0,5823.33,0.0298,0.0145,0.97,0.969,121.124347,9.267935
